                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 2.0226,                 1.6608,                  1.555,                 0.5359,                0.34973,                 0.3452,                0.12158,                 2.6045,                 2.2757,                 2.0528,              0.0035788,              0.0035788,              0.0035788
                     75,                 2.0211,                 1.7022,                 1.5062,                0.31939,                0.25683,                0.19731,                0.06854,                 2.7972,                  2.547,                 2.1769,              0.0035435,              0.0035435,              0.0035435
                     76,                 2.0068,                 1.6635,                 1.5227,                0.52043,                0.25683,                0.25144,                0.07945,                 2.7435,                 2.5585,                 2.1541,              0.0035079,              0.0035079,              0.0035079
                     77,                  1.989,                 1.6516,                 1.5432,                 0.2495,                0.22404,                0.13853,                0.04783,                 3.0108,                 2.7337,                 2.3562,              0.0034721,              0.0034721,              0.0034721
                     78,                 2.0279,                 1.6708,                 1.5521,                0.43038,                0.40437,                  0.336,                0.11939,                 2.5302,                 2.1731,                 2.0147,              0.0034361,              0.0034361,              0.0034361
                     79,                 1.9742,                 1.6537,                 1.5152,                0.55957,                0.28415,                0.29762,                0.10088,                 2.5881,                 2.4288,                 2.0336,              0.0033999,              0.0033999,              0.0033999
                     80,                 2.0049,                 1.6343,                 1.5214,                0.45938,                0.30183,                0.32445,                0.10387,                 2.5819,                  2.282,                 2.0381,              0.0033634,              0.0033634,              0.0033634
                     81,                 1.9885,                 1.6283,                 1.5184,                0.55719,                0.40569,                0.39506,                0.14115,                 2.5821,                 2.1038,                 2.0785,              0.0033267,              0.0033267,              0.0033267
                     82,                 2.0039,                 1.6205,                 1.5369,                0.52249,                0.34973,                0.32412,                0.11952,                 2.6829,                 2.2167,                 2.0665,              0.0032898,              0.0032898,              0.0032898
                     83,                  1.929,                 1.5914,                 1.4801,                0.50042,                0.31148,                 0.3358,                0.11918,                 2.6381,                  2.216,                 2.0546,              0.0032527,              0.0032527,              0.0032527
                     84,                 2.0584,                 1.6152,                 1.5577,                0.46618,                0.36066,                0.34458,                0.12832,                 2.4853,                 2.0081,                 1.9869,              0.0032155,              0.0032155,              0.0032155
                     85,                 1.9497,                 1.5555,                 1.4822,                0.45784,                0.35519,                0.33932,                0.12477,                 2.4447,                 2.0159,                 1.9399,              0.0031781,              0.0031781,              0.0031781
                     86,                  1.987,                 1.5758,                 1.4964,                0.46817,                 0.3388,                 0.3512,                0.12711,                 2.5612,                 1.9957,                 2.0471,              0.0031405,              0.0031405,              0.0031405
                     87,                 1.9411,                 1.5529,                 1.4935,                0.60523,                0.31836,                0.35852,                0.12674,                 2.5575,                 1.9866,                 2.0626,              0.0031028,              0.0031028,              0.0031028
                     88,                 1.9155,                 1.5738,                 1.5068,                0.51991,                0.34324,                 0.3214,                0.10999,                 2.5827,                 2.0102,                  2.035,              0.0030649,              0.0030649,              0.0030649
                     89,                 1.9019,                 1.5538,                 1.4708,                0.45437,                 0.3388,                0.33564,                0.11532,                 2.5747,                 1.9867,                 2.0121,              0.0030269,              0.0030269,              0.0030269
                     90,                 1.8939,                 1.4929,                 1.4571,                0.56003,                 0.3388,                0.37589,                0.12567,                 2.5568,                 1.9986,                 2.0682,              0.0029888,              0.0029888,              0.0029888
                     91,                 1.9738,                 1.5641,                 1.5165,                0.61385,                0.29508,                0.35341,                0.12431,                 2.6147,                 2.0193,                   2.06,              0.0029505,              0.0029505,              0.0029505
                     92,                 1.9099,                 1.5075,                 1.4702,                0.70299,                0.31694,                0.37305,                0.13088,                 2.6631,                 2.0422,                 2.0961,              0.0029122,              0.0029122,              0.0029122
