                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                  1.172,                0.66041,                0.96708,                0.78121,                0.56097,                0.62781,                0.26939,                  2.038,                 1.3757,                 1.4157,              0.0032527,              0.0032527,              0.0032527
                     84,                  1.183,                0.67003,                 0.9774,                0.77091,                0.54671,                0.60183,                0.26062,                 2.0747,                 1.4216,                 1.4398,              0.0032155,              0.0032155,              0.0032155
                     85,                 1.1705,                0.65917,                 0.9648,                0.77483,                0.57749,                0.63043,                0.26844,                 2.0516,                   1.39,                 1.4365,              0.0031781,              0.0031781,              0.0031781
                     86,                 1.1567,                0.65287,                0.96555,                0.79844,                0.56051,                 0.6246,                0.27182,                 2.0233,                 1.3679,                 1.4175,              0.0031405,              0.0031405,              0.0031405
                     87,                 1.1611,                0.65785,                0.96508,                0.77751,                0.56759,                 0.6234,                0.27372,                 2.0228,                 1.3377,                 1.4227,              0.0031028,              0.0031028,              0.0031028
                     88,                 1.1444,                0.64683,                0.96214,                0.78122,                0.56102,                 0.6161,                0.27426,                 2.0273,                 1.3436,                  1.425,              0.0030649,              0.0030649,              0.0030649
                     89,                 1.1531,                0.63955,                0.96396,                0.78952,                0.56369,                0.62487,                0.27368,                 2.0443,                 1.3511,                 1.4287,              0.0030269,              0.0030269,              0.0030269
                     90,                 1.1533,                0.64788,                0.96063,                0.80605,                0.56914,                0.63366,                0.27384,                 2.0516,                 1.3352,                 1.4332,              0.0029888,              0.0029888,              0.0029888
                     91,                 1.1508,                0.63356,                0.96279,                 0.8154,                0.55799,                0.63233,                0.27979,                  2.024,                 1.3776,                 1.4216,              0.0029505,              0.0029505,              0.0029505
                     92,                 1.1514,                0.64261,                0.96152,                0.79105,                0.55839,                0.62333,                0.27468,                 2.0375,                 1.3676,                 1.4299,              0.0029122,              0.0029122,              0.0029122
                     93,                 1.1322,                0.62484,                0.95479,                0.79016,                0.57006,                0.63476,                0.27932,                 2.0446,                 1.3312,                 1.4378,              0.0028737,              0.0028737,              0.0028737
                     94,                 1.1238,                0.62264,                0.95258,                 0.8291,                0.55839,                0.65052,                0.28085,                 2.0457,                 1.3063,                 1.4362,              0.0028352,              0.0028352,              0.0028352
                     95,                 1.1246,                0.61506,                0.95232,                0.76701,                0.57006,                0.64072,                0.27595,                 2.0506,                 1.3194,                 1.4364,              0.0027966,              0.0027966,              0.0027966
                     96,                 1.1328,                0.62874,                0.95472,                 0.7796,                0.56325,                0.62292,                0.27237,                 2.0623,                 1.3423,                 1.4397,              0.0027579,              0.0027579,              0.0027579
                     97,                  1.126,                0.62095,                 0.9546,                0.78089,                0.56582,                0.63092,                0.27295,                 2.0522,                 1.3413,                 1.4376,              0.0027192,              0.0027192,              0.0027192
                     98,                 1.1176,                0.60992,                0.95039,                0.77349,                0.56913,                0.63101,                0.27592,                 2.0584,                 1.3531,                 1.4416,              0.0026804,              0.0026804,              0.0026804
