epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
75,4954.1,1.34511,0.86099,1.02925,0.01171,0.80438,0.61465,0.65528,0.28764,1.9685,1.21019,1.35802,0,0.00350794,0.00350794,0.00350794,0.000350794
76,5016.61,1.34359,0.84765,1.02944,0.01162,0.78232,0.6104,0.64391,0.28466,1.96055,1.22396,1.35138,0,0.00347214,0.00347214,0.00347214,0.000347214
77,5083.22,1.34173,0.85488,1.02634,0.01154,0.79224,0.62208,0.66507,0.28818,1.9614,1.21649,1.34679,0,0.00343611,0.00343611,0.00343611,0.000343611
78,5147.88,1.33038,0.83603,1.02393,0.01145,0.82029,0.61359,0.66686,0.2893,1.956,1.19617,1.35002,0,0.00339985,0.00339985,0.00339985,0.000339985
79,5210.89,1.3336,0.84149,1.0218,0.01133,0.8121,0.61996,0.67465,0.28878,1.96776,1.20143,1.35452,0,0.00336338,0.00336338,0.00336338,0.000336338
80,5275.06,1.3297,0.83768,1.01888,0.01122,0.82154,0.62066,0.67965,0.29362,1.95661,1.20505,1.35491,0,0.0033267,0.0033267,0.0033267,0.00033267
81,5338.8,1.32034,0.82964,1.01301,0.01115,0.83867,0.61571,0.67898,0.29692,1.94467,1.18214,1.34759,0,0.00328982,0.00328982,0.00328982,0.000328982
82,5402.47,1.31471,0.82855,1.01589,0.01106,0.77521,0.61465,0.66354,0.28912,1.97905,1.20923,1.36047,0,0.00325275,0.00325275,0.00325275,0.000325275
83,5468.8,1.31662,0.82707,1.01465,0.01094,0.81101,0.59979,0.6602,0.28706,1.97202,1.21278,1.36446,0,0.0032155,0.0032155,0.0032155,0.00032155
84,5533.49,1.31614,0.8126,1.01149,0.01085,0.76625,0.63336,0.66261,0.28557,1.95952,1.20681,1.35607,0,0.00317809,0.00317809,0.00317809,0.000317809
85,5597.04,1.30001,0.81718,1.00958,0.01074,0.79644,0.59766,0.66357,0.28779,1.97144,1.22716,1.35842,0,0.00314051,0.00314051,0.00314051,0.000314051
86,5658.53,1.31223,0.81137,1.01446,0.01065,0.7933,0.59236,0.64956,0.293,1.95909,1.21979,1.36241,0,0.00310278,0.00310278,0.00310278,0.000310278
87,5720.25,1.31358,0.80303,1.01689,0.01054,0.78442,0.62208,0.66494,0.28907,1.95918,1.22935,1.35421,0,0.0030649,0.0030649,0.0030649,0.00030649
88,5781.22,1.30568,0.80964,1.00967,0.01045,0.77001,0.6291,0.66474,0.28863,1.96754,1.22207,1.35968,0,0.0030269,0.0030269,0.0030269,0.00030269
89,5845.79,1.28975,0.79493,1.00955,0.01035,0.76769,0.62794,0.65768,0.28684,1.98462,1.2444,1.3681,0,0.00298877,0.00298877,0.00298877,0.000298877
90,5908.48,1.29926,0.79482,1.00993,0.01028,0.76346,0.6242,0.66727,0.28745,1.96941,1.23176,1.36283,0,0.00295052,0.00295052,0.00295052,0.000295052
91,5971,1.28331,0.78625,1.00617,0.01015,0.81134,0.6051,0.6674,0.29407,1.96538,1.21468,1.36234,0,0.00291218,0.00291218,0.00291218,0.000291218
92,6033.42,1.30393,0.79897,1.01332,0.01008,0.77991,0.63057,0.67264,0.29632,1.97284,1.20703,1.36905,0,0.00287373,0.00287373,0.00287373,0.000287373
93,6095.82,1.29034,0.78565,1.00968,0.00995,0.80754,0.60297,0.67235,0.29466,1.97984,1.21108,1.37461,0,0.0028352,0.0028352,0.0028352,0.00028352
94,6158.46,1.27914,0.79215,1.00534,0.00985,0.79843,0.6097,0.66537,0.29323,1.97998,1.23006,1.37636,0,0.00279659,0.00279659,0.00279659,0.000279659
95,6221.48,1.28529,0.78632,1.00769,0.00977,0.80551,0.61677,0.67213,0.29122,1.99157,1.23251,1.383,0,0.00275792,0.00275792,0.00275792,0.000275792
96,6282.97,1.27992,0.77913,0.99999,0.00966,0.82482,0.60085,0.67376,0.29713,1.98412,1.21873,1.37789,0,0.00271919,0.00271919,0.00271919,0.000271919
97,6346.58,1.26812,0.77249,0.99787,0.00957,0.81719,0.60934,0.67669,0.2987,1.9697,1.21191,1.36559,0,0.00268041,0.00268041,0.00268041,0.000268041
98,6408.45,1.28223,0.77943,0.99617,0.00947,0.79216,0.63119,0.67794,0.29807,1.96685,1.21552,1.36116,0,0.00264159,0.00264159,0.00264159,0.000264159
99,6469.89,1.26483,0.7635,1.00116,0.00934,0.77952,0.63588,0.66974,0.29769,1.95815,1.22193,1.35596,0,0.00260274,0.00260274,0.00260274,0.000260274
100,6533.58,1.26784,0.76691,1.00065,0.00925,0.8118,0.62633,0.66709,0.29463,1.95741,1.22353,1.35708,0,0.00256388,0.00256388,0.00256388,0.000256388
101,6597.01,1.26711,0.76306,1.00246,0.00917,0.7934,0.62845,0.66191,0.29207,1.95503,1.22629,1.35203,0,0.002525,0.002525,0.002525,0.0002525
102,6660.07,1.23853,0.75045,0.99401,0.00908,0.8098,0.60722,0.6656,0.29374,1.96225,1.21736,1.35453,0,0.00248612,0.00248612,0.00248612,0.000248612
103,6720.78,1.25398,0.75409,0.99415,0.00896,0.78832,0.61783,0.66268,0.29143,1.97044,1.21093,1.35994,0,0.00244726,0.00244726,0.00244726,0.000244726
104,6782.79,1.25534,0.76306,0.99333,0.00886,0.7994,0.61342,0.66437,0.28997,1.97848,1.21615,1.36368,0,0.00240841,0.00240841,0.00240841,0.000240841
105,6843.08,1.2392,0.74775,0.98867,0.00876,0.80199,0.61053,0.6688,0.29388,1.97011,1.22377,1.35535,0,0.00236959,0.00236959,0.00236959,0.000236959
106,6906.24,1.24735,0.74842,0.99397,0.00866,0.79458,0.6242,0.6766,0.29699,1.95773,1.21587,1.35288,0,0.00233081,0.00233081,0.00233081,0.000233081
107,6970.34,1.24559,0.75621,0.99416,0.00856,0.80114,0.62739,0.6756,0.29947,1.94989,1.21791,1.34749,0,0.00229208,0.00229208,0.00229208,0.000229208
108,7033.38,1.24228,0.7503,0.99066,0.00847,0.80348,0.62951,0.67925,0.30266,1.95383,1.21857,1.34761,0,0.00225341,0.00225341,0.00225341,0.000225341
109,7097.02,1.22483,0.73609,0.98184,0.00836,0.82096,0.61571,0.68449,0.30391,1.94812,1.20648,1.34444,0,0.0022148,0.0022148,0.0022148,0.00022148
110,7159.88,1.22182,0.71989,0.98563,0.00826,0.80053,0.62203,0.67915,0.30021,1.94777,1.21214,1.34402,0,0.00217627,0.00217627,0.00217627,0.000217627
111,7224.86,1.22961,0.73339,0.98771,0.00813,0.82146,0.61051,0.67779,0.29941,1.94802,1.20909,1.34614,0,0.00213782,0.00213782,0.00213782,0.000213782
112,7289.12,1.21245,0.72451,0.98289,0.00804,0.79833,0.62633,0.68017,0.30139,1.94866,1.20773,1.34789,0,0.00209948,0.00209948,0.00209948,0.000209948
113,7352.04,1.22301,0.71966,0.98658,0.00796,0.80536,0.62813,0.68294,0.30518,1.94245,1.20404,1.34514,0,0.00206123,0.00206123,0.00206123,0.000206123
114,7415.11,1.21862,0.71746,0.98133,0.00785,0.77529,0.63731,0.68005,0.30187,1.94123,1.21164,1.34375,0,0.0020231,0.0020231,0.0020231,0.00020231
115,7477.87,1.21506,0.70937,0.9865,0.00777,0.78254,0.63795,0.68162,0.30223,1.9395,1.21289,1.34123,0,0.0019851,0.0019851,0.0019851,0.00019851
116,7540.03,1.21847,0.72191,0.97619,0.00766,0.78098,0.62838,0.67301,0.30061,1.94249,1.21633,1.34369,0,0.00194722,0.00194722,0.00194722,0.000194722
117,7601.52,1.2096,0.7067,0.98018,0.00756,0.79598,0.62124,0.67723,0.3034,1.9475,1.21381,1.34764,0,0.00190949,0.00190949,0.00190949,0.000190949
118,7665.84,1.20139,0.71048,0.98212,0.00746,0.80381,0.61763,0.67683,0.30519,1.94999,1.21405,1.35256,0,0.00187191,0.00187191,0.00187191,0.000187191
119,7728.85,1.1918,0.70353,0.97542,0.00736,0.80922,0.6079,0.67296,0.304,1.95195,1.21654,1.355,0,0.0018345,0.0018345,0.0018345,0.00018345
120,7790.41,1.18956,0.69504,0.9729,0.00727,0.7896,0.6215,0.67449,0.30458,1.95334,1.21689,1.35582,0,0.00179725,0.00179725,0.00179725,0.000179725
121,7855.15,1.18199,0.68856,0.97374,0.00717,0.78695,0.62208,0.67559,0.3045,1.95615,1.2167,1.35799,0,0.00176018,0.00176018,0.00176018,0.000176018
122,7916.53,1.18649,0.68917,0.97676,0.00707,0.7965,0.61253,0.67074,0.30384,1.95699,1.22353,1.35755,0,0.0017233,0.0017233,0.0017233,0.00017233
123,7980.34,1.19296,0.69029,0.97526,0.00697,0.79825,0.61253,0.67178,0.30259,1.95516,1.2236,1.35531,0,0.00168662,0.00168662,0.00168662,0.000168662
124,8044.92,1.18439,0.69127,0.97822,0.00687,0.79154,0.60866,0.6681,0.30131,1.95728,1.22678,1.35664,0,0.00165015,0.00165015,0.00165015,0.000165015
125,8107.36,1.18635,0.69294,0.97042,0.00678,0.79179,0.61253,0.67122,0.30167,1.95927,1.22569,1.35626,0,0.00161389,0.00161389,0.00161389,0.000161389
126,8168.85,1.18013,0.68591,0.96888,0.00667,0.78519,0.6131,0.673,0.30076,1.95768,1.22344,1.355,0,0.00157786,0.00157786,0.00157786,0.000157786
127,8228.91,1.18787,0.68765,0.97468,0.00657,0.78997,0.6104,0.67203,0.30169,1.95842,1.22509,1.35536,0,0.00154206,0.00154206,0.00154206,0.000154206
128,8289.95,1.17551,0.67439,0.97168,0.00648,0.77714,0.62314,0.67563,0.30159,1.95736,1.22395,1.35576,0,0.0015065,0.0015065,0.0015065,0.00015065
129,8356.02,1.17854,0.67723,0.96729,0.00641,0.76987,0.6215,0.67393,0.30253,1.95944,1.22915,1.35697,0,0.0014712,0.0014712,0.0014712,0.00014712
130,8420.58,1.16455,0.66828,0.96715,0.00632,0.76917,0.62256,0.67233,0.3032,1.96027,1.2293,1.3578,0,0.00143615,0.00143615,0.00143615,0.000143615
131,8485.17,1.16595,0.67745,0.96455,0.00622,0.77846,0.6192,0.67211,0.30261,1.9583,1.22948,1.3564,0,0.00140137,0.00140137,0.00140137,0.000140137
132,8547.69,1.15269,0.66147,0.96098,0.00612,0.77577,0.62208,0.67228,0.30331,1.95938,1.2269,1.35758,0,0.00136687,0.00136687,0.00136687,0.000136687
